id,votes
1Lq3ghX6yzJ7MsWXDkgIGQ,1.400882
zulCqAo_XY9wAefJ58H9Fw,0.130519
ptm1X6ReMEYg1Y203KXkxQ,0.089316
JCCe3m0LK7dGGxO4ntoGLg,1.848324
CeOpuUly_s75QSuHKtfxng,0.534766
f_npHQr9DblCH634th98eg,0.477876
vbxsk-vbWpOlpx_hzVANzQ,0.205277
GGMxcqghneND0JUzgZo85A,0.232183
sGQe6moDXutDOSSK8h_1WQ,0.265121
SqN9ixz36WOnVemJ7YyzWg,1.223330
wSUIU6De7q4z-ofz_2L4gA,1.595099
FlNn8JKKAC59B6NL97-SSg,0.027140
LX6L_WKNQPmvY9UVDGmWCQ,0.528790
0Yv3LLiAE0vNkET_i5zMgw,1.015332
Wxf_QtNh3tG6VKVg6vkNYA,1.371792
-F87KP39UTIthblo0zPPHA,0.770552
Rj89qPo8leEW9fVNAtb3Ow,2.102264
wQ2ibGmY3uW13Cxt7B0AVA,0.231694
_01X19lpwdl2r7GzBcCSpA,0.847146
cykSQuOxQ7Tm0hRvplHWDA,0.236899
ZTb_jCK-Zbakttd-VoyUFA,0.530622
a0o2nIHKB_q1WLsRKsCBMg,1.439911
RCEpA6SdpClNns63-VPFMQ,0.706499
CLR3NbnskwmVd2x4Zn4v8A,1.023777
eyDJW1m4XK1vqweRcznBew,4.222136
-42cCcq9_4tJLV3ZfHnHaA,1.779320
88n3EVZwhRYXkoJuelCfQA,0.546482
xRWtSmWF9nnT8HHzoe2ACg,1.283573
W86pCKcclp5c4g-9UI3oOw,0.460596
Kv2ynuWsD_B41BbpWbIl5A,1.326843
FMadPMGVn5nX1XOtJa7Jlw,1.094251
yx2cWLUwerGEL_MJJtsNcQ,0.129583
37256hOSwA0ZeeY_v_-K6Q,1.122066
Nx_ex15K7JlrGQ2taJvB8A,1.256054
Ijf3nKbh0Ob20G9ixAJ_MQ,0.708181
k0Y-ETFcLH8mvVmNx4iRhA,0.582662
kEzbOq36XgPv4tx10THhQw,0.125441
4f5LLGvMzjmXPlJx_Bvkuw,1.361717
UsXbqhPEF619mC8sYmCjsA,1.185081
lqIhjppJtkjG4TC4XjgHJw,0.168968
vu-ITWFoN0g0bL2ZuAJI-Q,0.092867
beynuU-lRZtY99SP7s-zpA,0.050074
xCYL9nAJ6Z4PtBbNTN0O_w,0.524294
w1marIKYBSG1kJPfZFdh0w,0.243686
SjWQ3dIQeYvxukF2t6BIqw,0.139992
xnL2tU4ozCeTm0sDLcvNRg,0.665968
GczmuyZxSpN9oEXbl3E6IA,0.354556
tnr3Rymy2_5ZSfGXel4AVA,1.556861
DYjVRFHvuRRUjGN5FGmqoQ,1.095963
udXh9zE5Vg9xJ3RflapI3Q,1.632265
T1XvvY1AyGGGe_2dzhLrgw,0.580128
KV_4fHDTERKDx-pYiFSNTA,0.447482
jGwnlwuogwfJuH5Vh3hdXw,1.015978
Dj6K1i902X5A1v6FHrP-7Q,1.378514
u0TemrC0hcmr7UVwF6TjYA,0.490192
N5DBaZPINdNabw6fUFpXSA,1.177316
hIMJFxEMbjj1feaeeBi9sA,0.483449
XbYkL-UKbfFSefCkUIuMlA,0.149891
Fs9a1rRyqmqzf3xYVbIobA,1.673802
k7UsJ6Yk7iw6KvcpAzPboQ,0.034239
d_LiUlPzBatB5LJv_XbiQg,0.453627
w2DP4oM9GIH5EFu7WhNToA,0.055872
MDhoCwcRZkQoX6KFQY2bBw,0.976322
gB4aM3Q8Cm6wumiubFLPNQ,1.113539
fECOZjTLV3p44bWrMxGQiw,0.144568
Bl0IDudk9THhgjTJRD5KNA,0.287874
FThLkhyn2GTHTppDQxPYww,0.575149
6q3lCdmrcxSd8BBgIPlpjA,1.482913
320FvbH91FtigNZOSFCVIw,0.335239
3QDUON5x79j17A5MOe58QQ,0.004457
39uZe3R2HHJJgNbEof0ymA,0.242919
XzLaOR65p89WKXehVjnR4Q,0.190284
XCsALFaCPApw_FGj7whjVw,0.945888
PvpUOOG_Qx6XMoOjTIrFWA,0.182593
jAyqvCXY7WOAUep8wt8_bg,0.522522
n0VhFIDJ1z4NEpRceu2OoQ,0.414881
mVgvXzV4NgZekgKtI-qVVA,0.341722
cT4dfEVExCn2jl697eyjrA,0.157217
XVtGSiE1IgungStp51072Q,0.056930
RAes7uYf1ciuuTmIx7_FxA,1.193065
PeRnT-8yUl7vRJboQNiLKQ,0.230648
q7a1im5SuXT_mL_rGR0-LQ,0.751590
ESqd0kCOyKQYgBAxvfTZ_A,0.291991
Dsq4b5pWC_F7iWY5zt1ohg,3.797552
6pHMzZYVkvDU5dV0D4tIHA,0.847125
lV7A6r0koafVgcqvTPJt_A,0.615113
9N0pNeUvWzkJeq4DX7IOXg,1.086638
HAbgUCQC5HGBjrJniIMOGQ,0.445615
_GIzYGNlaMLjucToAQ8icA,0.740500
RMInE3ffU4rQIzlwbRZ8Uw,2.830748
QPPER0DPfrTTQCoj1vMd1g,0.498631
SzYY5ST8JDA_MpqTDm5rxQ,1.349714
Eo-fQsfq5ZGLZrCdO08RYA,0.323518
3dKcM690oTULHquGS9FcSg,0.328446
q3uNdyRE_07VpuTEw1n1pQ,0.862224
cO6--3vrYs72mfzwJYTJKA,0.446953
mi4af3szRDak-rGVEMiyHw,1.052322
rBYe9NNJVIhZJB-qevKS3w,0.727438
T2H1WEQjkCjnyeRTDvh9xw,0.379381
wCv4JHFTk_OY35GRMIk4Zw,0.802428
zhoXcL0F9Dau-w2VQYR8Qw,0.253627
eoIg1vJa9cFTnOT5n5hERA,1.353153
5sXe5EV0hswaVSDU6UORMg,0.229504
SN7VTlhpr2oi9nGmKHWIig,0.348910
7jrEettSFjmVwWJQRmqHVg,1.963061
aER_1lEwaEzQPQhWOBWYeA,1.431042
SW3CEJUhl8Rin85A6RNfyQ,1.445460
HW2ZVimXh1k-K7DzjpRZgQ,0.732715
Z_GuKkOUM4vpRy-q82jnGA,0.707059
D6buhTj4Nle3bjvX6ONlMA,0.381213
ruTPOptWMGwUb3X_eHobwA,1.404327
x50eVVapwVrL8jieOn7Ypg,0.730653
aLLRqFCyADIodW3gwZbJLQ,3.512532
tyIqzAuvFxMRzhv1IfUEIA,0.209833
cVZpK0aZkehhzaPeUa4mCA,0.731524
fqslB5_O78_CAuSHlE_-2Q,0.729804
4JSc8W-i81bPH7UCPG6aHg,0.561199
dkQCsRqEJ90GRG1GxI_rYw,0.560274
jhoDJXekUu-s8-t_murpYA,0.587280
SdG4gOWqmyKdq-Mb6m5c0Q,0.305083
q5eMw0XsQXu2a3aFHcONCg,0.726923
WbPHfwuoRKsAopRa865Jeg,0.303046
SWGegiJcZJLOF4gvjTqtLw,0.374582
cZEWoAYkxiby2a1u9sVGRQ,0.130435
2y9HqF2rzwTVo25tiwc03A,4.269071
a4CWYIP0wHCD7IIaODAQrg,0.831000
oX6G30VFK55L1jCz8Zg1JQ,1.346829
XvCjsnVlXgcmMOHlB8c_Zg,0.741032
PQnAG55JoqsD9XL0a-Un6Q,0.828451
yiSNGkeM5aKXXijTbgKQXg,0.295735
ej6FK6mUq360t3W2A-V5ZA,0.877746
uyM5LDvETveAP7uuE1QY3Q,0.233294
ZEEsfNxfIhpSyNrlmiTznQ,0.995995
LBvFj3gdjKJzoVR9sBggWQ,1.754628
-ZmodfQfum4qEt9-9SYceA,0.126353
1cCdnYWyD-1Wpd7upqgbuw,0.220261
2qnD-AtXqrNV8jis2QPd1w,0.206518
lDX_Mr3K_ycAAQGgtGN2bQ,1.566384
SC7mYx3Mh8RSwy7isHXudA,0.311273
pAgQVgHVIuOfX0UMtWwpqw,1.364961
1rqlHYXV57dj7LWzemk1og,1.110905
ANMNxm6VpiHG-oADDVZifA,0.270709
e9rtzn5VVDRv9ykW6IQ5-w,0.819488
fmN8ys1rjQ04kTwta2RHBw,2.017327
ONMmt2Gsw1tQ6Zk8DOwehg,0.439062
erwLExzTqMSeGkSFa9G8UQ,0.239749
TX4Yj6vJY4tPWAu46BCK-w,2.528021
ogAC16LE2RZUpfZx2NFLxA,1.027642
OrImQMU8t2drAoBIB3DL7w,1.875672
jjmLtREnjpzlXhm1EPs1ZQ,0.979608
gMGrxVsskvoyQ2Jv4j4GIg,0.222029
U956a4KhFtkm9bmbA_tFQw,0.403124
Yc6xvoaLq0zp3DAFlItn1Q,0.378636
K0Z_OV0d4cgEyStkBgRyeA,0.426492
OmOxWk03QDud8XRyzOpq8g,2.946387
OdLESDnP9UGwoToR4kt_Cg,1.077350
uDqewZRuoY0T-F-GffdAWQ,1.038608
Mys1TLWjWt8YH5h2zHcwCw,0.804817
WS0fczYvX5F3haSUwKyGBw,0.362881
Jjq46zUdQzSSmhWtxNVyCg,0.247505
DMLcGAlMlItWOHXjSUZWxQ,0.641309
d0FffgHB4rf-cvJeHXoWqA,1.678270
xpVX0pN4awk23DDPIJzNOg,0.678365
itiYX2LG5gYgJ7zaTwueCg,0.210429
0JkC7O5FcIL5gHPaGGUjyA,0.822528
RwbkNpUZKk3RvaQH1K7uMw,8.822214
qcwU5S49Z7GsTIvS-N49Xw,0.752225
Ra9j4hvHAHjRVho1A21hZg,0.140162
uM5zm0ICnwxusCidpOwTOQ,0.621975
J3bkOy6cfgIb-z4P6IDN4Q,0.616055
Xg99DyMw5RYSB0esYH8f4g,0.603945
gszhLmEvw6L-0oQxTK41RQ,0.968106
NYrQqR9X9X1LAk22ZEuKXw,0.496454
x9XZ4q0IiGqwKp1bWSmPTA,1.266700
EIlK4sqOX_0XZZg8WAPdEQ,1.025412
UxXJ4pfWmJBsks4HjWGbOQ,0.057782
q-xRXgYHJgOn0uvkI9oMPg,0.371429
dbUpJ6yfpwKMfZXAWalHjA,1.036238
Q_FJ4qUcCN_QRyPDiVQl3w,0.596069
yXdRFRPYqYmLJafsbIl01w,0.079220
2niyFhdYocsFKa89ks6WeQ,0.606530
c9UD2-0O-O5giBT5i25WEg,0.652940
UD9zgBBetBGhbDaJgxHSIg,0.315432
qCOK3SHePXGZ4AmTgHvwZw,2.050458
zW4505xkFEgGpYyPJH1NUw,2.473701
PmAkd8-SWDQuDmZg-_TNpA,0.349549
y0ZqwjZmmiKn4BLw2wCs4A,0.047983
v36rj5g8i09OgLpTzqi_xg,2.312321
09SSeYDIc_Onn5UDf74kJw,0.485244
Q_vXpZ3da2dLLNccTMku_g,0.028066
tRV1FcG8lh78isRftMPmYw,1.028233
2R5ledvk-ZYpE1go4TIXSg,1.732301
Sqx7n5woxjYRYtU7NMwO7A,0.666100
fLZ6orhxBSt4UpyQN30Thw,1.582218
DAe0R5_VOPYUJHfC31p7pA,0.360827
FpMIIiewhiXFXP4bE0BnDA,1.845157
2Qv7_SQ76vcSu5oxftWs4Q,2.188914
qzyDJvHN5gSE8rEVUmVw6g,1.132910
HTgPuoq5ioPLKflUpvHFJg,4.991640
NHK1pg-kqsp5J4V6OC96fQ,0.336064
FooOgufIj3oQ-x5OwLnJsA,5.513716
gegtcJjpd7lKQmbuelQt5A,0.831080
ul4eGkS-VhIGDpiN_d7UKA,0.814362
SDdUz1RxvlP8KW09QnNW3w,0.425637
BggyPB__FheceDBhJwiAKg,0.099138
quMVcYBoDG25NIb37e_uow,0.292423
il_CBM7Tohnsu9kRwt-IgA,1.070457
dY4yg55ZPxmZYThwr8gpGA,0.507206
lz-s2i_mEUKxgsvTOJguDg,1.070825
Vztsqkrw6FLODSTtq4meeg,0.529895
C5Xt1Xz-V8CF8xBGYZ200g,0.656846
WFCtReqrKrwtPuQB6dgnNQ,0.361724
mqgO9vNGHr1UQJ6pYXRUwQ,1.085700
VoUgyL7B2TjJmnzXUZGzaA,1.781480
yn_6p_BVpAKTYlZSrmitsA,0.833723
IAasvTM6Xezbngxz2xqyJA,1.182434
qxFelsvfkR2g6Of5lExSVA,0.540906
AC8482372XLbPPUTfSHbQw,0.232683
6VD5KicEDqSy9mggew-k5w,2.560699
nqK62T9pikNe1FbsTbEQYA,0.649385
tSFMXkt24_TmyiWYc1Ny2A,0.517416
juMF2cD2yLe8wvp_NLYd7g,1.552510
OTt0k_3AHg0-GaWs2D4gEA,0.601117
HQ2lXws-RDp6MMg9sbvbog,1.072594
euTNfPUVZ_ja6JO2gO60ng,0.230743
hQhOyMJn2lY6YkHQc9eR6g,0.603414
0kEahVWlk6pJ4h6QD1VW2g,0.618985
03PAipDv6e2n8ngth8S69Q,3.273610
vPFmEOdtW4xm8OW3A3pI3Q,1.603778
nSX8qCzH5Bh-wRtjsHLmWA,0.473426
QyQciLc1MEereO0CsoBVFg,0.798045
jOsykVg1QlgKFCWKeg5DSw,0.332414
8nu5hvObBahBjyRr7KwABg,1.552301
klwplXLT1WPB0U3sM8v4og,0.841253
nBcvTdrP1Y0eodxsXCBMew,0.577151
ZtE1AXwV6DD6vOm7-mxJfQ,0.496195
kC_3fpxtrRfZ0ugKd3uerQ,0.630353
M--65r07ZRUHXuKmZ4kgGw,1.906949
F6imtUkgEs4hIpKOUK90dA,0.511865
NrELIRMSCO-R6n1Weay_3Q,0.087737
urMU_bil0MSVUGF01FEUkg,0.615667
v7yAAKeJA2wyqhgl8VEsCQ,0.562211
JTvDXcSSTVhXF1bZ3e7NbQ,1.906774
PKdRQ3PZ9EH_pdt37K3gpw,1.609416
5-PuAOxmQE8KOaWiryjqmw,2.043519
cTAhFEkzUMSs0kg1qH_QyQ,0.443299
vjEsc5kLe3pEvIGmcz_bmw,1.749247
eIqDLWfIYGlZXL-htwngOQ,0.379566
vQzZ2ERP673QGe7TtMl_-A,0.691865
oZ1EXCzwnF7GJaXqr0_1kg,0.075243
CRyDzRY_MDFYQktJ1qOcSw,1.362030
FVzepqvByttuWeiWM1GTFA,0.144040
IEUNOcA4w4P7-dT6-Q_bQQ,0.264174
lSsYcj6NP6n8eN8rm30agg,0.682232
mkaxTxpVrgXk2j7areTuBA,0.597177
FNQqpv6LOnteMFn6V52qdQ,0.704106
dKNajwZgUGTUBzKtL6pKgA,1.790758
zGj5MYWsSGlpGDqOyyWaqA,0.926547
eNhPSG1bJ_rHyvuaX5OF1w,0.247989
7qe8Z_Y2s7b7wf8nOLjxhA,0.401610
j4kg5TdmBil4z8KDZfUn6w,1.152119
U2YS0e7026_btGPiPYNHsQ,0.835393
4MatnQnFh9CqnqCaBLeQpg,1.937111
z4ajP-ZxNztyhDDznIUIUQ,0.241792
FoMlnv1VoTE2oXy64W2DRA,0.676871
bCCu03YvPn-56Hl1PsA4Ng,0.747074
LY2F1nXA8vkBrJ6njuAJCw,0.532058
CpGrEEoeq7aY4OHlJYyJ5g,3.808041
npyq7X4JioSM4SB8OW5H_g,0.057012
